"","taxon_id","pro_id","pro_id_representative","sample","library","pep_bin_sum","pep_bin_n"
"100","uvig_356226","uvig_356226_112","uvig_356226_37","S3.0701.01.2X194","pepsyn",0,8
"101","uvig_356226","uvig_356226_114","uvig_356226_39","S3.0693.01X195","pepsyn",0,8
"102","uvig_356226","uvig_356226_114","uvig_356226_39","S3.0153.01X194","pepsyn",1,8
"103","uvig_356226","uvig_356226_114","uvig_356226_39","SO.0491.01X194","pepsyn",0,8
"104","uvig_356226","uvig_356226_114","uvig_356226_39","S3.0693.01.2X194","pepsyn",0,8
"105","uvig_356226","uvig_356226_114","uvig_356226_39","S3.0701.01.2X194","pepsyn",1,8
"106","uvig_356226","uvig_356226_142","uvig_356226_67","S3.0693.01X195","pepsyn",0,8
"107","uvig_356226","uvig_356226_142","uvig_356226_67","S3.0153.01X194","pepsyn",1,8
"108","uvig_356226","uvig_356226_142","uvig_356226_67","SO.0491.01X194","pepsyn",1,8
"109","uvig_356226","uvig_356226_142","uvig_356226_67","S3.0693.01.2X194","pepsyn",0,8
"110","uvig_356226","uvig_356226_142","uvig_356226_67","S3.0701.01.2X194","pepsyn",0,8
"111","uvig_356226","uvig_356226_2","uvig_356226_2","S3.0693.01X195","pepsyn",2,8
"112","uvig_356226","uvig_356226_2","uvig_356226_2","S3.0153.01X194","pepsyn",1,8
"113","uvig_356226","uvig_356226_2","uvig_356226_2","SO.0491.01X194","pepsyn",1,8
"114","uvig_356226","uvig_356226_2","uvig_356226_2","S3.0693.01.2X194","pepsyn",1,8
"115","uvig_356226","uvig_356226_2","uvig_356226_2","S3.0701.01.2X194","pepsyn",0,8
"116","uvig_356226","uvig_356226_84","uvig_428798_109","S3.0693.01X195","pepsyn",0,8
"117","uvig_356226","uvig_356226_84","uvig_428798_109","S3.0153.01X194","pepsyn",0,8
"118","uvig_356226","uvig_356226_84","uvig_428798_109","SO.0491.01X194","pepsyn",0,8
"119","uvig_356226","uvig_356226_84","uvig_428798_109","S3.0693.01.2X194","pepsyn",0,8
"120","uvig_356226","uvig_356226_84","uvig_428798_109","S3.0701.01.2X194","pepsyn",0,8
"121","uvig_356226","uvig_356226_102","uvig_356226_27","S3.0693.01X195","pepsyn",0,7
"122","uvig_356226","uvig_356226_102","uvig_356226_27","S3.0153.01X194","pepsyn",1,7
"123","uvig_356226","uvig_356226_102","uvig_356226_27","SO.0491.01X194","pepsyn",0,7
"124","uvig_356226","uvig_356226_102","uvig_356226_27","S3.0693.01.2X194","pepsyn",0,7
"125","uvig_356226","uvig_356226_102","uvig_356226_27","S3.0701.01.2X194","pepsyn",0,7
"126","uvig_356226","uvig_356226_101","uvig_356226_26","S3.0693.01X195","pepsyn",0,6
"127","uvig_356226","uvig_356226_101","uvig_356226_26","S3.0153.01X194","pepsyn",0,6
"128","uvig_356226","uvig_356226_101","uvig_356226_26","SO.0491.01X194","pepsyn",0,6
"129","uvig_356226","uvig_356226_101","uvig_356226_26","S3.0693.01.2X194","pepsyn",0,6
"130","uvig_356226","uvig_356226_101","uvig_356226_26","S3.0701.01.2X194","pepsyn",0,6
"131","uvig_356226","uvig_356226_123","uvig_356226_48","S3.0693.01X195","pepsyn",0,6
"132","uvig_356226","uvig_356226_123","uvig_356226_48","S3.0153.01X194","pepsyn",0,6
"133","uvig_356226","uvig_356226_123","uvig_356226_48","SO.0491.01X194","pepsyn",0,6
"134","uvig_356226","uvig_356226_123","uvig_356226_48","S3.0693.01.2X194","pepsyn",0,6
"135","uvig_356226","uvig_356226_123","uvig_356226_48","S3.0701.01.2X194","pepsyn",1,6
"136","uvig_356226","uvig_356226_128","uvig_356226_53","S3.0693.01X195","pepsyn",0,6
"137","uvig_356226","uvig_356226_128","uvig_356226_53","S3.0153.01X194","pepsyn",0,6
"138","uvig_356226","uvig_356226_128","uvig_356226_53","SO.0491.01X194","pepsyn",0,6
"139","uvig_356226","uvig_356226_128","uvig_356226_53","S3.0693.01.2X194","pepsyn",0,6
"140","uvig_356226","uvig_356226_128","uvig_356226_53","S3.0701.01.2X194","pepsyn",0,6
"141","uvig_356226","uvig_356226_132","uvig_356226_57","S3.0693.01X195","pepsyn",0,6
"142","uvig_356226","uvig_356226_132","uvig_356226_57","S3.0153.01X194","pepsyn",0,6
"143","uvig_356226","uvig_356226_132","uvig_356226_57","SO.0491.01X194","pepsyn",0,6
"144","uvig_356226","uvig_356226_132","uvig_356226_57","S3.0693.01.2X194","pepsyn",1,6
"145","uvig_356226","uvig_356226_132","uvig_356226_57","S3.0701.01.2X194","pepsyn",0,6
"146","uvig_356226","uvig_356226_134","uvig_356226_59","S3.0693.01X195","pepsyn",0,6
"147","uvig_356226","uvig_356226_134","uvig_356226_59","S3.0153.01X194","pepsyn",0,6
"148","uvig_356226","uvig_356226_134","uvig_356226_59","SO.0491.01X194","pepsyn",0,6
"149","uvig_356226","uvig_356226_134","uvig_356226_59","S3.0693.01.2X194","pepsyn",0,6
"150","uvig_356226","uvig_356226_134","uvig_356226_59","S3.0701.01.2X194","pepsyn",0,6
"151","uvig_356226","uvig_356226_139","uvig_356226_64","S3.0693.01X195","pepsyn",0,6
"152","uvig_356226","uvig_356226_139","uvig_356226_64","S3.0153.01X194","pepsyn",1,6
"153","uvig_356226","uvig_356226_139","uvig_356226_64","SO.0491.01X194","pepsyn",0,6
"154","uvig_356226","uvig_356226_139","uvig_356226_64","S3.0693.01.2X194","pepsyn",0,6
"155","uvig_356226","uvig_356226_139","uvig_356226_64","S3.0701.01.2X194","pepsyn",0,6
"156","uvig_356226","uvig_356226_145","uvig_356226_70","S3.0693.01X195","pepsyn",0,6
"157","uvig_356226","uvig_356226_145","uvig_356226_70","S3.0153.01X194","pepsyn",0,6
"158","uvig_356226","uvig_356226_145","uvig_356226_70","SO.0491.01X194","pepsyn",0,6
"159","uvig_356226","uvig_356226_145","uvig_356226_70","S3.0693.01.2X194","pepsyn",0,6
"160","uvig_356226","uvig_356226_145","uvig_356226_70","S3.0701.01.2X194","pepsyn",0,6
"161","uvig_356226","uvig_356226_150","uvig_356226_150","S3.0693.01X195","pepsyn",0,6
"162","uvig_356226","uvig_356226_150","uvig_356226_150","S3.0153.01X194","pepsyn",0,6
"163","uvig_356226","uvig_356226_150","uvig_356226_150","SO.0491.01X194","pepsyn",0,6
"164","uvig_356226","uvig_356226_150","uvig_356226_150","S3.0693.01.2X194","pepsyn",0,6
"165","uvig_356226","uvig_356226_150","uvig_356226_150","S3.0701.01.2X194","pepsyn",0,6
"166","uvig_356226","uvig_356226_4","uvig_356226_4","S3.0693.01X195","pepsyn",0,6
"167","uvig_356226","uvig_356226_4","uvig_356226_4","S3.0153.01X194","pepsyn",0,6
"168","uvig_356226","uvig_356226_4","uvig_356226_4","SO.0491.01X194","pepsyn",0,6
"169","uvig_356226","uvig_356226_4","uvig_356226_4","S3.0693.01.2X194","pepsyn",0,6
"170","uvig_356226","uvig_356226_4","uvig_356226_4","S3.0701.01.2X194","pepsyn",0,6
"171","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0693.01X195","dolphyn",0,5
"172","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0153.01X194","dolphyn",0,5
"173","uvig_356226","uvig_356226_124","uvig_356226_49","SO.0491.01X194","dolphyn",0,5
"174","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0693.01.2X194","dolphyn",0,5
"175","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0701.01.2X194","dolphyn",0,5
"176","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0693.01X195","dolphyn",0,5
"177","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0153.01X194","dolphyn",2,5
"178","uvig_356226","uvig_356226_125","uvig_356226_50","SO.0491.01X194","dolphyn",0,5
"179","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0693.01.2X194","dolphyn",0,5
"180","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0701.01.2X194","dolphyn",0,5
"181","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0693.01X195","dolphyn",1,5
"182","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0153.01X194","dolphyn",0,5
"183","uvig_356226","uvig_356226_138","uvig_356226_63","SO.0491.01X194","dolphyn",0,5
"184","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0693.01.2X194","dolphyn",0,5
"185","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0701.01.2X194","dolphyn",0,5
"186","uvig_356226","uvig_356226_14","uvig_356226_14","S3.0693.01X195","pepsyn",0,5
