"","triplet_id","sample","pep","triplet","zeroes"
"1760","dolphyn_8731490502393461955","S3.0153.01X194",1.72097928716701,0,TRUE
"1761","dolphyn_8741147262503700409","S3.0153.01X194",0,1.86562931779451,TRUE
"1762","dolphyn_8745119308079110283","S3.0153.01X194",0,2.37024374146786,TRUE
"1763","dolphyn_8745119308079110283","SO.0491.01X194",0,3.12015985192904,TRUE
"1764","dolphyn_8746523742046582040","S3.0693.01X195",1.69561560867515,0,TRUE
"1765","dolphyn_8746741511163244241","S3.0693.01X195",1.69009581545155,0,TRUE
"1766","dolphyn_8771447736655009623","S3.0693.01X195",0,1.71918877639322,TRUE
"1767","dolphyn_8783371594893752570","SO.0491.01X194",0,1.82454929205105,TRUE
"1768","dolphyn_8789819037336766228","SO.0491.01X194",1.91985947185537,0,TRUE
"1769","dolphyn_8796779518904874396","S3.0153.01X194",2.5564518169511,0,TRUE
"1770","dolphyn_8796779518904874396","S3.0693.01X195",1.94304891677428,0,TRUE
"1771","dolphyn_8806838685849275613","S3.0153.01X194",2.18941639488841,0,TRUE
"1772","dolphyn_8806838685849275613","S3.0693.01X195",1.63119940421561,0,TRUE
"1773","dolphyn_8806861764269342187","S3.0693.01.2X194",2.43273577745909,1.87487437593856,FALSE
"1774","dolphyn_8806861764269342187","S3.0693.01X195",2.84839168565528,2.64119789411437,FALSE
"1775","dolphyn_8820343677085113484","S3.0693.01X195",0,1.66959183525385,TRUE
"1776","dolphyn_8822756505129251246","S3.0153.01X194",1.87793716546911,0,TRUE
"1777","dolphyn_8836702854329654015","S3.0693.01.2X194",2.87582197688143,3.30284925864438,FALSE
"1778","dolphyn_8836702854329654015","S3.0693.01X195",3.57402961243499,3.71381593940397,FALSE
"1779","dolphyn_8840843668918324457","S3.0693.01X195",1.93007108502557,0,TRUE
"1780","dolphyn_8842864473398154069","S3.0693.01X195",0,1.68082790852077,TRUE
"1781","dolphyn_8846316259155692734","S3.0153.01X194",0,2.29455292129678,TRUE
"1782","dolphyn_8847316366117460317","S3.0153.01X194",1.67709656090792,0,TRUE
"1783","dolphyn_8853661438500247982","S3.0693.01X195",2.01356879752913,0,TRUE
"1784","dolphyn_885503578205173569","S3.0153.01X194",0,1.66959183525385,TRUE
"1785","dolphyn_885503578205173569","S3.0693.01.2X194",0,1.64865862558738,TRUE
"1786","dolphyn_8858225328627922116","S3.0693.01X195",1.84213567655312,0,TRUE
"1787","dolphyn_8859569004064284905","S3.0693.01X195",0,1.6752256529721,TRUE
"1788","dolphyn_8863438195554067001","S3.0693.01.2X194",0,1.62727783056243,TRUE
"1789","dolphyn_8863438195554067001","S3.0693.01X195",0,1.69009581545155,TRUE
"1790","dolphyn_8869910591554128971","S3.0153.01X194",0,1.9643112344262,TRUE
"1791","dolphyn_8878773911255461406","S3.0693.01X195",1.61541998411165,0,TRUE
"1792","dolphyn_8883982012374302048","SO.0491.01X194",0,2.67276838695757,TRUE
"1793","dolphyn_8884035664736128978","S3.0693.01X195",1.61342993370364,0,TRUE
"1794","dolphyn_8884676631198413820","S3.0153.01X194",1.98513086220859,0,TRUE
"1795","dolphyn_8885288788654557282","S3.0153.01X194",1.61938824328727,0,TRUE
"1796","dolphyn_8887811207448440133","S3.0693.01.2X194",2.7330679640775,2.13653050866396,FALSE
"1797","dolphyn_8887811207448440133","S3.0693.01X195",3.36314931402463,2.05412373369555,FALSE
"1798","dolphyn_8889774585789740856","S3.0693.01.2X194",0,3.07315617051879,TRUE
"1799","dolphyn_8889774585789740856","S3.0693.01X195",0,4.07651997730955,TRUE
"1800","dolphyn_8894783013327269485","S3.0693.01X195",1.68454538492091,0,TRUE
"1801","dolphyn_8894783013327269485","SO.0491.01X194",2.484906649788,2.16561923792089,FALSE
"1802","dolphyn_8896652440669632205","S3.0153.01X194",0,1.90805992492422,TRUE
"1803","dolphyn_8897755226524754780","S3.0693.01X195",1.63705307946707,0,TRUE
"1804","dolphyn_8897755226524754780","SO.0491.01X194",0,1.91839212016142,TRUE
"1805","dolphyn_8901085071751429109","S3.0153.01X194",1.79674701073909,0,TRUE
"1806","dolphyn_8901085071751429109","S3.0693.01X195",0,1.74221902366792,TRUE
"1807","dolphyn_8905564871078660264","S3.0153.01X194",1.7227665977411,0,TRUE
"1808","dolphyn_8905564871078660264","S3.0693.01X195",1.81807677754543,0,TRUE
"1809","dolphyn_8907860202425122688","S3.0153.01X194",0,1.79508725932073,TRUE
"1810","dolphyn_8911408923842753737","S3.0153.01X194",0,1.75958057086382,TRUE
"1811","dolphyn_8911408923842753737","S3.0693.01X195",1.80170980008122,0,TRUE
"1812","dolphyn_8919634520841874345","S3.0153.01X194",1.70110510095992,0,TRUE
