"","S3.0078.01X194","S3.0137.01X195","S3.0144.01X194","S3.0149.01X195","S3.0153.01X194","S3.0154.01X195","S3.0169.01X194","S3.0171.01X194","S3.0195.01X194","S3.0495.01X194","S3.0500.01X195","S3.0521.01X195","S3.0586.01X195","S3.0598.01X195","S3.0613.01X195","S3.0616.01X194","S3.0617.01X194","S3.0630.01X195","S3.0631.01X195","S3.0633.01X194","S3.0639.01X195","S3.0646.01X194","S3.0652.01X195","S3.0657.01X194","S3.0662.01X195","S3.0665.01X194","S3.0677.01X194","S3.0693.01.2X194","S3.0693.01X195","S3.0698.01X194","S3.0700.01X194","S3.0701.01.2X194","S3.0701.01X194","S3.0710.01X194","S3.0719.01X195","S3.0720.01X195","S3.0723.01X195","S3.0736.01X195","S3.0748.01X194","S3.0800.01X194","S3.0906.01X194","SO.0386.01X194","SO.0437.01X194","SO.0456.01X195","SO.0458.01X194","SO.0479.01X195","SO.0491.01X194","SO.0665.01X194","SO.0679.02X194","SO.0739.01X194","SO.0746.01X194","SO.0749.01X194","SO.0761.01X194","Blast_Escherichia.coli","Host_Genus","Host_Phylum","Predicted_phage_taxon","phage_cluster"
"uvig_357814 4661",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_357645 6562",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Podoviridae","PC_1"
"uvig_359554 6562",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Podoviridae","PC_1"
"uvig_375837 9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Siphoviridae","PC_1"
"uvig_395437 9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_304445 9241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_307260 9241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"ivig_2475 10427",1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,"True","Escherichia","Proteobacteria","Podoviridae","PC_4"
"ivig_2643 10427",1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,"True","Escherichia","Proteobacteria","Podoviridae","PC_4"
"uvig_205260 10430",1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
"uvig_250342 10430",1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
