"","wildtypeIDs","sampleXplate","lhfc_G","lhfc_G4S"
"312","10800n-21029r-94490n","SMART357X195",6.0607107198448,6.18390143764303
"314","10800n-21029r-94490n","SMART360X195",5.0998664278242,5.21938237845989
"316","10800n-21029r-94490n","SMART369X194",3.74360435380318,3.87349005571136
"318","10800n-21029r-94490n","SMART370X195",4.34328580635745,4.42340847245265
"320","10800n-21029r-94490n","SMART371X195",5.7208034589905,5.90028084168536
"322","10800n-21029r-94490n","SMART372X194",4.95547488291898,5.13397324298473
"326","10800n-21029r-94490n","SMART384X194",3.97443426554954,4.27791533841649
"328","10800n-21029r-94490n","SMART391X195",4.42902948826922,4.45817716224743
"330","10800n-21029r-94490n","SMART397X195",4.59935330066653,4.76635322357948
"332","10800n-21029r-94490n","SO.0386.01X194",2.83732253680635,3.31962572796834
"334","10800n-21029r-94490n","SO.0437.01X194",2.3174737054878,2.59450815970308
"336","10800n-21029r-94490n","SO.0456.01X195",3.33541364111615,3.29286950477653
"338","10800n-21029r-94490n","SO.0458.01X194",2.28136145654242,2.63905732961526
"340","10800n-21029r-94490n","SO.0479.01X195",3.10324048126928,3.32251485962769
"342","10800n-21029r-94490n","SO.0491.01X194",4.10165113740454,4.30743777768281
"344","10800n-21029r-94490n","SO.0665.01X194",4.80393907416065,4.9395688456624
"346","10800n-21029r-94490n","SO.0679.02X194",2.34180580614733,2.82078347108945
"348","10800n-21029r-94490n","SO.0739.01X194",3.72303930576064,3.97180020946401
"350","10800n-21029r-94490n","SO.0746.01X194",2.1770218700187,1.94448055624572
"352","10800n-21029r-94490n","SO.0749.01X194",2.7669478423497,3.18593932462194
"354","10800n-21029r-94490n","SO.0761.01X194",3.52311998561896,3.65351131027615
"356","11926n-26170r-31723n","CSC024X194",0,2.7047112998367
"358","11926n-26170r-31723n","CSC032X195",0,2.30258509299405
"360","11926n-26170r-31723n","CSC034X195",0,3.17178421733435
"364","11926n-26170r-31723n","S3.0078.01X194",0,1.98100146886658
"366","11926n-26170r-31723n","S3.0137.01X195",0,1.61938824328727
"368","11926n-26170r-31723n","S3.0144.01X194",0,2.19277022698684
"388","11926n-26170r-31723n","S3.0586.01X195",0,3.05588619637374
"400","11926n-26170r-31723n","S3.0631.01X195",0,1.73342389221509
"409","11926n-26170r-31723n","S3.0652.01X195",0,2.11745960886736
"411","11926n-26170r-31723n","S3.0657.01X194",0,3.61361696961339
"419","11926n-26170r-31723n","S3.0693.01.2X194",0,1.73342389221509
"421","11926n-26170r-31723n","S3.0693.01X195",0,1.79674701073909
"437","11926n-26170r-31723n","S3.0723.01X195",0,3.07685132483878
"447","11926n-26170r-31723n","SMART003X194",0,1.70292825552144
"453","11926n-26170r-31723n","SMART015X195",0,1.77495235091167
"455","11926n-26170r-31723n","SMART019X195",0,2.74662968306969
