"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"354","ivig_3353","ivig_3353_60",1.72097928716701,"triplet","dolphyn_9141487855017976800","S3.0153.01X194"
"355","uvig_354753","uvig_354753_35",1.71918877639322,"pep1","dolphyn_2717842823504231136","S3.0693.01X195"
"356","uvig_357328","uvig_357328_30",1.71918877639322,"pep1","dolphyn_6302988325230880598","SO.0491.01X194"
"357","uvig_357864","uvig_357864_73",1.71559810826249,"pep3","dolphyn_1022216491584300793","S3.0153.01X194"
"358","uvig_315082","uvig_315082_59",1.71379792775834,"pep3","dolphyn_1859139536493128781","S3.0153.01X194"
"359","ivig_896","ivig_896_198",1.71379792775834,"pep1","dolphyn_3044157423050121916","S3.0153.01X194"
"360","uvig_428798","uvig_428798_11",1.71018781553424,"pep2","dolphyn_1009814533447099731","S3.0693.01X195"
"361","uvig_357328","uvig_357328_34",1.708377860289,"triplet","dolphyn_1872014364428739536","S3.0693.01X195"
"362","uvig_354790","uvig_354790_35",1.708377860289,"pep2","dolphyn_1930627560858108675","S3.0153.01X194"
"363","uvig_315082","uvig_315082_18",1.708377860289,"pep1","dolphyn_3338085207032094404","S3.0693.01X195"
"364","uvig_356792","uvig_356792_104",1.70474809223843,"triplet","dolphyn_4808483692116431512","S3.0693.01.2X194"
"365","ivig_601","ivig_601_136",1.70474809223843,"triplet","dolphyn_8279259417365039821","SO.0491.01X194"
"366","uvig_356955","uvig_356955_8",1.70110510095992,"pep3","dolphyn_5681335419240110696","S3.0153.01X194"
"367","uvig_385029","uvig_385029_52",1.69927861643389,"triplet","dolphyn_4786623748761711736","S3.0693.01X195"
"368","ivig_4424","ivig_4424_11",1.69744878975681,"triplet","dolphyn_5688086125013948095","SO.0491.01X194"
"369","uvig_357328","uvig_357328_34",1.69561560867515,"pep2","dolphyn_1872014364428739536","S3.0693.01X195"
"370","uvig_357328","uvig_357328_36",1.69561560867515,"pep3","dolphyn_5927611401092579355","S3.0153.01X194"
"371","uvig_315082","uvig_315082_59",1.69193913394584,"triplet","dolphyn_1859139536493128781","S3.0153.01X194"
"372","ivig_2475","ivig_2475_40",1.69009581545155,"triplet","dolphyn_1264323816676822068","S3.0693.01X195"
"373","uvig_354716","uvig_354716_54",1.68639895357023,"triplet","dolphyn_720756587382959805","S3.0693.01X195"
"374","uvig_315082","uvig_315082_18",1.68454538492091,"triplet","dolphyn_3338085207032094404","S3.0693.01X195"
"375","uvig_355947","uvig_355947_47",1.68268837417369,"pep3","dolphyn_7385846629258124154","S3.0693.01X195"
"376","uvig_359660","uvig_359660_10",1.68082790852077,"triplet","dolphyn_4808440455956128424","S3.0153.01X194"
"377","ivig_3353","ivig_3353_162",1.67709656090792,"triplet","dolphyn_5079017064715994587","S3.0153.01X194"
"378","uvig_357328","uvig_357328_36",1.67709656090792,"pep2","dolphyn_5927611401092579355","S3.0153.01X194"
"379","uvig_358797","uvig_358797_56",1.67709656090792,"pep3","dolphyn_3138049032560161484","S3.0153.01X194"
"380","ivig_4176","ivig_4176_40",1.6752256529721,"pep2","dolphyn_4068435768287974432","S3.0693.01X195"
"381","uvig_428798","uvig_428798_5",1.6752256529721,"pep2","dolphyn_2047838254304498571","S3.0153.01X194"
"382","uvig_358682","uvig_358682_22",1.67335123817775,"triplet","dolphyn_3559398535225935904","SO.0491.01X194"
"383","uvig_354753","uvig_354753_27",1.67335123817775,"triplet","dolphyn_5219674062898066593","SO.0491.01X194"
"384","uvig_356226","uvig_356226_38",1.67147330335355,"triplet","dolphyn_386700858133017322","S3.0693.01X195"
"385","uvig_355854","uvig_355854_54",1.66959183525385,"pep2","dolphyn_5552664566303726527","S3.0693.01X195"
"386","uvig_428798","uvig_428798_120",1.66770682055808,"pep1","dolphyn_3654116643004035473","S3.0693.01X195"
"387","uvig_356955","uvig_356955_84",1.66770682055808,"pep1","dolphyn_9015307227903015062","S3.0153.01X194"
"388","uvig_357441","uvig_357441_52",1.66581824587021,"pep2","dolphyn_8683759630732447324","S3.0693.01X195"
"389","ivig_1427","ivig_1427_33",1.66392609771817,"triplet","dolphyn_7073228470815807673","S3.0153.01X194"
"390","uvig_356033","uvig_356033_10",1.66392609771817,"pep2","dolphyn_2834890559616835757","SO.0491.01X194"
"391","ivig_896","ivig_896_173",1.66392609771817,"pep2","dolphyn_9160780225642987009","S3.0153.01X194"
"392","uvig_354790","uvig_354790_35",1.66203036255327,"triplet","dolphyn_1930627560858108675","S3.0153.01X194"
"393","uvig_357328","uvig_357328_37",1.66203036255327,"triplet","dolphyn_8074362613255034008","S3.0693.01X195"
"394","uvig_396640","uvig_396640_60",1.66203036255327,"triplet","dolphyn_8680768673135162522","S3.0153.01X194"
"395","uvig_358797","uvig_358797_9",1.66203036255327,"pep3","dolphyn_4897757316586798869","S3.0693.01X195"
"396","uvig_358682","uvig_358682_22",1.66013102674962,"pep3","dolphyn_3559398535225935904","SO.0491.01X194"
"397","uvig_356955","uvig_356955_82",1.65822807660353,"triplet","dolphyn_1099074316398906168","S3.0693.01X195"
"398","uvig_357441","uvig_357441_52",1.65822807660353,"triplet","dolphyn_8683759630732447324","S3.0693.01X195"
"399","uvig_355854","uvig_355854_54",1.65632149833295,"pep1","dolphyn_5552664566303726527","S3.0693.01X195"
"400","uvig_357864","uvig_357864_3",1.65441127807683,"pep2","dolphyn_3321272549414817449","S3.0693.01X195"
"401","uvig_356955","uvig_356955_86",1.65441127807683,"pep2","dolphyn_6289604364671408435","S3.0693.01X195"
"402","uvig_428798","uvig_428798_31",1.65441127807683,"pep2","dolphyn_1654009062247297533","S3.0693.01X195"
"403","uvig_315082","uvig_315082_20",1.65249740189455,"pep2","dolphyn_368075727765277874","S3.0153.01X194"
"404","uvig_315082","uvig_315082_21",1.65249740189455,"pep1","dolphyn_6873698798253845018","S3.0693.01X195"
"405","uvig_418132","uvig_418132_52",1.65057985576528,"triplet","dolphyn_5960197278370579886","S3.0693.01X195"
"406","uvig_354790","uvig_354790_61",1.6467336971778,"triplet","dolphyn_524054228212868017","S3.0693.01X195"
"407","ivig_3679","ivig_3679_56",1.6467336971778,"pep1","dolphyn_3065440054305836257","S3.0153.01X194"
"408","uvig_428798","uvig_428798_31",1.64480505627139,"triplet","dolphyn_1654009062247297533","S3.0693.01X195"
"409","uvig_354790","uvig_354790_83",1.64287268852034,"triplet","dolphyn_7920268146096793101","S3.0693.01.2X194"
"410","uvig_357864","uvig_357864_3",1.64093657949347,"triplet","dolphyn_3321272549414817449","S3.0693.01X195"
"411","uvig_315082","uvig_315082_21",1.64093657949347,"pep2","dolphyn_6873698798253845018","S3.0693.01X195"
"412","uvig_428798","uvig_428798_100",1.63899671467564,"triplet","dolphyn_1252579743364456718","S3.0153.01X194"
"413","uvig_357534","uvig_357534_55",1.63899671467564,"triplet","dolphyn_7016140561040284100","S3.0693.01.2X194"
"414","uvig_359660","uvig_359660_61",1.63705307946707,"triplet","dolphyn_5435310460156539778","S3.0153.01X194"
"415","uvig_357864","uvig_357864_53",1.63705307946707,"pep3","dolphyn_60913799087811566","S3.0693.01X195"
