"taxon_id","sample_id","total_peps","score","score_norm","shape","rate","mean","variance","vir_score","virus_fc","p_val","library","plate","sample","p_val_re"
"uvig_225655","S3.0693.01",77,67.7302819173846,0.879614050875124,93.0384989024397,111.20917378422,0.836608129855929,0.00752283378598966,0.266763414843503,1.05140509574847,0.521674658244626,"pepsyn",195,"S3.0693.01X195",0.300832907948193
"uvig_250342","S3.0693.01",744,946.264716870617,1.27186117858954,973.10436848825,1166.46420545226,0.834234230197368,0.000715182022987084,2.76286973151498,1.52458522145349,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_267525","S3.0693.01",453,392.592712717021,0.866650579949273,582.313598765078,697.587978288815,0.834752915601405,0.00119662743851902,0.26096530251942,1.03821210294892,0.750450948907007,"pepsyn",195,"S3.0693.01X195",0.177643389506875
"uvig_271818","S3.0693.01",668,576.303328037268,0.862729532989921,870.418438897088,1043.23332532088,0.834346850096415,0.000799770127971882,0.252537451643287,1.03401784628326,0.802019082440426,"pepsyn",195,"S3.0693.01X195",0.157754195265078
"uvig_272223","S3.0693.01",603,517.559264138984,0.858307237378083,782.91699682226,938.238811267877,0.83445385910254,0.000889383224271986,0.218834278021609,1.02858561682631,0.6764771266006,"pepsyn",195,"S3.0693.01X195",0.210631283124562
"uvig_29025","S3.0693.01",474,420.52885497314,0.887191677158524,610.273639253447,731.124472384691,0.834705528680954,0.0011416736276908,0.388869453880869,1.06287983806758,1.20519325468952,"pepsyn",195,"S3.0693.01X195",0.0623457344351913
"uvig_295951","S3.0693.01",323,270.936457533185,0.838812562022246,410.326298139371,491.3459515275,0.835106704072244,0.00169963078249868,0.090980085970255,1.00443758615747,0.3394108310303,"pepsyn",195,"S3.0693.01X195",0.457708701596581
"uvig_297199","S3.0693.01",1111,1162.5902756755,1.04643589169712,1473.61585036034,1767.31692268325,0.833815277524194,0.000471797257652148,1.61880931580216,1.25499726366762,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_304445","S3.0693.01",67,51.8856057463182,0.774412026064451,80.5630873551721,96.2804992435743,0.836753942782955,0.00869079356003443,-0.132645764362619,0.925495520808469,0.587940389555706,"pepsyn",195,"S3.0693.01X195",0.258261465114053
"uvig_307260","S3.0693.01",67,51.8856057463182,0.774412026064451,80.5630873551721,96.2804992435743,0.836753942782955,0.00869079356003443,-0.132645764362619,0.925495520808469,0.587940389555706,"pepsyn",195,"S3.0693.01X195",0.258261465114053
"uvig_315082","S3.0693.01",567,685.883586355389,1.20967122814002,734.594189713737,880.261423496378,0.834518212550932,0.000948034515969409,2.25599221621659,1.44954443168152,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_315372","S3.0693.01",382,489.978488253667,1.28266619961693,488.130152795687,584.63517707997,0.834931204847631,0.00142812344788727,2.37503496697522,1.5362537562014,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_354716","S3.0693.01",366,384.607679255268,1.05084065370292,466.986336436602,559.281175314227,0.834975960301596,0.00149294486772681,1.24751009681054,1.25852803393687,6.95981506868483,"pepsyn",195,"S3.0693.01X195",1.09694519800918e-07
"uvig_354750","S3.0693.01",306,293.228023127291,0.958261513487878,387.996607442086,464.5757555293,0.835163270627487,0.00179769017364234,0.73274840275477,1.14739422480577,2.57718323067341,"pepsyn",195,"S3.0693.01X195",0.0026473829609166
"uvig_354753","S3.0693.01",311,334.172023902297,1.07450811544147,394.559769973218,472.443886470568,0.835146313186121,0.00176771535647366,1.31327309116444,1.28661061957176,7.09920279159683,"pepsyn",195,"S3.0693.01X195",7.9578767464561e-08
"uvig_354790","S3.0693.01",822,976.631827923406,1.18811657898225,1078.87462855534,1293.41298765315,0.83413004110382,0.000644906189335021,2.35844246879147,1.42437811904003,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_354826","S3.0693.01",471,407.779874449719,0.865774680360338,606.276651944312,726.330195211619,0.834712168021145,0.00114921859716702,0.257228094502699,1.03721344138643,0.746819144285116,"pepsyn",195,"S3.0693.01X195",0.179135168147313
"uvig_355148","S3.0693.01",366,384.607679255268,1.05084065370292,466.986336436602,559.281175314227,0.834975960301596,0.00149294486772681,1.24751009681054,1.25852803393687,6.95981506868483,"pepsyn",195,"S3.0693.01X195",1.09694519800918e-07
"uvig_355218","S3.0693.01",366,384.607679255268,1.05084065370292,466.986336436602,559.281175314227,0.834975960301596,0.00149294486772681,1.24751009681054,1.25852803393687,6.95981506868483,"pepsyn",195,"S3.0693.01X195",1.09694519800918e-07
"uvig_355286","S3.0693.01",957,772.109641712571,0.806802133450962,1262.75255770997,1514.14416386163,0.83397115535517,0.000550787154393697,-0.158097182393497,0.967422108390983,0.910779644965409,"pepsyn",195,"S3.0693.01X195",0.122806217493068
"uvig_355478","S3.0693.01",359,330.925203214275,0.921797223438092,457.745985372663,548.201305737172,0.834996160319479,0.00152315609536291,0.561564223244013,1.10395384702775,1.82034146724848,"pepsyn",195,"S3.0693.01X195",0.0151237166742991
"uvig_355854","S3.0693.01",453,366.038675979947,0.808032397306726,582.313598765078,697.587978288815,0.834752915601405,0.00119662743851902,-0.105300259889774,0.967989907198553,0.654540158140931,"pepsyn",195,"S3.0693.01X195",0.221543923063299
"uvig_355947","S3.0693.01",454,367.366363344123,0.809177011771196,583.644018947398,699.183698935788,0.834750609654873,0.00119389312268783,-0.0981004044707785,0.969363786515531,0.635493893494638,"pepsyn",195,"S3.0693.01X195",0.231476073305427
"uvig_356033","S3.0693.01",523,473.56450817763,0.905477071085335,675.679165048906,809.58184333261,0.834602666319073,0.00103090585984916,0.510085578460803,1.08491993570886,1.81348710775468,"pepsyn",195,"S3.0693.01X195",0.0153643040234687
"uvig_356226","S3.0693.01",442,587.69960812885,1.32963712246346,567.685796966866,680.043524649371,0.834778622823537,0.001227537051035,2.68355309753251,1.59280207483767,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_356259","S3.0693.01",666,541.855830019847,0.813597342372142,867.721492964889,1039.99701484972,0.834349984254783,0.000802261903006849,-0.0877948934802699,0.975127174118454,0.631791265874892,"pepsyn",195,"S3.0693.01X195",0.233457985732212
"uvig_356375","S3.0693.01",454,367.366363344123,0.809177011771196,583.644018947398,699.183698935788,0.834750609654873,0.00119389312268783,-0.0981004044707785,0.969363786515531,0.635493893494638,"pepsyn",195,"S3.0693.01X195",0.231476073305427
"uvig_356500","S3.0693.01",536,415.430168271231,0.775056284088117,693.068484570113,830.442833176835,0.834576995407137,0.00100497826227783,-0.338552471327375,0.928681581631683,1.55319728163172,"pepsyn",195,"S3.0693.01X195",0.0279771014943499
"uvig_356526","S3.0693.01",339,309.242296352324,0.912219163281191,431.380072034477,516.588118250491,0.835056124588027,0.0016164834131611,0.50261645398656,1.09240461379914,1.5211376509328,"pepsyn",195,"S3.0693.01X195",0.0301205119425634
"uvig_356577","S3.0693.01",77,71.4682592612886,0.928159211185566,93.0384989024397,111.20917378422,0.836608129855929,0.00752283378598966,0.445799028754413,1.10943125946601,0.835535078860427,"pepsyn",195,"S3.0693.01X195",0.146037678703459
"uvig_356750","S3.0693.01",329,465.841278004539,1.41593093618401,418.217288317436,500.806578960756,0.835087448701844,0.00166748498079791,2.84572627623368,1.69554809904651,15,"pepsyn",195,"S3.0693.01X195",1e-15
"uvig_356792","S3.0693.01",628,577.856804979344,0.92015414805628,816.534238332614,978.575129944669,0.834411394022227,0.000852679951174936,0.625550955771285,1.10275836913101,2.66438377245625,"pepsyn",195,"S3.0693.01X195",0.00216578941857026
"uvig_356912","S3.0693.01",454,367.799961253309,0.810132073245173,583.644018947398,699.183698935788,0.834750609654873,0.00119389312268783,-0.091995262469758,0.970507914429822,0.619498261914963,"pepsyn",195,"S3.0693.01X195",0.240160587930621
"uvig_356955","S3.0693.01",902,642.791895541315,0.712629595943808,1187.72205484774,1424.07082225885,0.834032996311085,0.000585668200818939,-0.910290228709525,0.854438132658729,7.17366829447018,"pepsyn",195,"S3.0693.01X195",6.70396449464761e-08
